Timestamp,Air purifier or N95 Mask,Shop Name,Address,Price,Quantity
6/21/13 17:12,N95 Mask,Qoo10,http://list.qoo10.sg/g/410990163,$37.90 ,20
6/21/13 17:18,N95 Mask,Wanstons,Clementi Mall,,
6/21/13 17:18,N95 Mask,guardian ,punggol,,
6/21/13 17:22,N95 Mask,Compassvale Sec Sch,Compassvale Sec,$20 ,20
6/21/13 17:22,N95 Mask,watson,Tampines,,
6/21/13 17:28,N95 Mask,guardian,holland,,
6/21/13 17:30,N95 Mask,watsons,bedok central,,
6/21/13 17:39,N95 Mask,Mass Technologies,"7 Bukit Batok St 22, Singapore 659584",$35 ,20
6/21/13 17:39,N95 Mask,Mae building,48 ms tag art rd #11-09,$12 ,20
6/21/13 17:40,N95 Mask,3M supplier,3M supplier,$1.10 ,1
6/21/13 17:50,N95 Mask,guardian,tampines,,
6/21/13 17:53,N95 Mask,Tengah Engineering & Hardware,"37 Kallang Pudding Rd, #01-12, Tong Lee Building Blk B, Singapore 349315",$50 ,20
6/21/13 17:53,N95 Mask,guardian,shaw plaza,,
6/21/13 17:59,N95 Mask,guardian,white sand,$2 ,
6/21/13 18:30,N95 Mask,Unity NTUC Healthecare Dawson Rd,"Blk 57 Dawson Place, SIngapore 142057",$1.80 ,
6/21/13 18:38,N95 Mask,GIANT ,KIM KEAT AVE,,
6/21/13 18:39,Air purifier,amazon,,$450 ,
6/21/13 19:11,N95 Mask,guardian,yew tee,,
6/21/13 19:15,Air purifier,Shamshad Shah,"blk 701 Woodlands Dr.40,#11-114 (730701)",$654 ,
6/21/13 19:35,N95 Mask,AllDealsAsia.com,119 Jalan Sultan S199008,S$1.50-3.00,
6/21/13 19:40,Air purifier and Mask,https://www.alldealsasia.com/best-deals/singapore,119A Jalan Sultan,S$1.50-$3.00,
6/21/13 19:57,N95 Mask,Unity,Lot1 Shoppers Mall,,
6/21/13 19:58,N95 Mask,Watson,Singapore ,,
6/21/13 20:11,Air purifier,Harvey,Sengkang,,
6/21/13 20:14,N95 Mask,Unity,"Opposite Giant, Serangoon Central",$1.80 ,
6/21/13 21:06,N95 Mask,Guardian,I12 Katong shopping mall,,
6/21/13 21:14,N95 Mask,Heng Yong Trading  (Tel: 6291-3293),Little India. ,$85.60 ,20
6/21/13 21:38,N95 Mask,nuh pharmacy,nuh,$2.50 ,
6/21/13 21:45,N95 Mask,Chinese medical shop,Inside Boon Lay MRT ,$3.50 ,
6/21/13 21:43,N95 Mask,nuh pharmacy,nuh,2.5,
6/21/13 21:51,Air purifier,amazon,amazon.com,,
